Formula,Miller Indices,dECO,MPID
Ag3Pd,[2 0 1],-0.84,mp-985296
Al2Cu,[1 1 0],-0.66,mp-985806
Al2Cu,[1 1 1],-0.75,mp-985806
Al2Cu,[1 1 1],-0.73,mp-985806
Al2Cu,[2 1 0],-0.75,mp-985806
Al2Cu,[2 1 0],-0.68,mp-985806
Al2Cu,[2 2 1],-0.73,mp-985806
Al2Cu6,[0 0 1],-0.79,mp-12802
Al2Cu6,[0 0 1],-0.64,mp-12802
Al2Cu6,[1 1 0],-0.8,mp-12802
Al2Cu6,[1 1 2],-0.84,mp-12802
Al2Cu6,[1 2 0],-0.65,mp-12802
Al2Cu6,[1 2 1],-0.69,mp-12802
Al2Cu6,[1 2 2],-0.78,mp-12802
Al2Cu6,[2 1 0],-0.7,mp-12802
Al2Cu6,[2 2 1],-0.76,mp-12802
Al3Cu2,[1 1 1],-0.83,mp-10886
Al3Cu2,[1 1 1],-0.82,mp-10886
Al3Cu2,[2 0 1],-0.82,mp-10886
Al5Cu5,[1 1 -2],-0.83,mp-2500
Al6Cu2,[1 0 1],-0.58,mp-985825
Al6Cu2,[2 1 0],-0.83,mp-985825
AlCu,[1 1 1],-0.8,mp-1022721
AlCu3,[1 1 0],-0.76,mp-1008555
AlCu3,[1 1 0],-0.72,mp-1008555
AlCu3,[1 1 1],-0.84,mp-12777
AlCu3,[2 1 0],-0.78,mp-1008555
AlCu3,[2 1 0],-0.75,mp-1008555
Al2N2,[2 1 2],-0.66,mp-661
Al2Pd,[2 2 1],-0.85,mp-16522
Al6Pd10,[1 0 0],-0.78,mp-16523
AlPd,[1 0 0],-0.85,mp-829
Al2Pt,[1 0 0],-0.72,mp-1502
Al2Ti2,[0 0 1],-0.6,mp-1953
Al4Ti2,[0 0 1],-0.82,mp-11809
Al12W,[1 0 0],-0.77,mp-11227
AsGa,[1 0 0],-0.81,mp-2534
AsGa,[2 1 1],-0.76,mp-2534
As4Si3,[1 1 1],-0.87,mp-570744
As6Si6,[2 2 -1],-0.67,mp-1863
As4Zn4Cu4,[1 0 1],-0.66,mp-676828
As4Zn4Cu4,[1 2 1],-0.75,mp-676828
As4Zn4Cu4,[2 1 0],-0.75,mp-676828
As4Zn4Cu4,[2 1 2],-0.79,mp-676828
Au2Al,[0 0 1],-0.73,mp-1018179
Au2Al,[1 0 2],-0.74,mp-1018179
Au4Al4,[0 0 1],-0.62,mp-1399
Au2AlCu,[1 1 1],-0.73,mp-867306
Au2AlCu,[2 1 0],-0.79,mp-867306
Au2Cu2,[0 0 1],-0.67,mp-522
Au2Cu2,[1 0 0],-0.69,mp-522
Au2Cu2,[2 1 0],-0.84,mp-522
Au3Cu,[2 1 0],-0.76,mp-2103
Au3Cu,[2 1 0],-0.61,mp-2103
Au3Cu,[2 1 1],-0.64,mp-2103
Au3Cu,[2 2 1],-0.71,mp-2103
AuCu3,[1 1 0],-0.68,mp-2258
AuCu3,[1 1 0],-0.63,mp-2258
AuCu3,[2 1 0],-0.8,mp-2258
AuCu3,[2 1 0],-0.79,mp-2258
AuCu3,[2 1 1],-0.75,mp-2258
AuGa2,[1 0 0],-0.57,mp-2776
AuPd2In,[2 2 1],-0.79,mp-863724
Au5Sn,[1 1 0],-0.64,mp-30418
Au4Ti,[1 1 0],-0.58,mp-12635
Co8Al20,[0 0 1],-0.69,mp-196
Cu,[1 1 0],-0.63,mp-30
Cu,[2 1 0],-0.78,mp-30
Cu,[2 1 1],-0.69,mp-30
CuAlPt2,[1 1 0],-0.77,mp-12550
Cu28In12,[0 0 1],-0.84,mp-21985
Fe2Al12,[1 1 0],-0.69,mp-570001
FeAl,[1 0 0],-0.6,mp-2658
Ga2Cu,[0 0 1],-0.78,mp-11359
Ga2Cu,[1 0 0],-0.64,mp-11359
Ga2Cu,[1 0 1],-0.67,mp-11359
Ga2Cu,[1 1 1],-0.66,mp-11359
Ga2Cu,[1 1 2],-0.74,mp-11359
Ga2Cu,[2 0 1],-0.72,mp-11359
Ga2Cu,[2 1 0],-0.82,mp-11359
Ga2Cu6,[1 0 0],-0.79,mp-865798
Ga2Cu6,[1 0 0],-0.69,mp-865798
Ga2Cu6,[1 0 1],-0.75,mp-865798
Ga2Cu6,[1 1 0],-0.8,mp-865798
Ga2Cu6,[1 1 1],-0.72,mp-865798
Ga2Cu6,[2 2 1],-0.84,mp-865798
Ga10Pd2,[1 1 2],-0.66,mp-30660
Ga6Pd10,[1 0 0],-0.79,mp-2408
Ga2Pt,[1 0 0],-0.64,mp-22095
Ga2Pt,[1 1 0],-0.65,mp-22095
Ga2Pt,[2 1 0],-0.7,mp-22095
Ga3Pt2,[1 1 0],-0.65,mp-21400
Ga3Pt2,[2 1 1],-0.68,mp-21400
Ga3Pt2,[2 2 1],-0.81,mp-21400
GaPt2Cu,[1 1 0],-0.74,mp-644280
Ge2,[2 1 1],-0.75,mp-32
Ge4Co4Cu2,[1 0 0],-0.71,mp-19955
Ge2Cu6,[1 0 2],-0.71,mp-19724
Ge2Cu6,[1 2 1],-0.75,mp-19724
Ge2Cu6,[2 1 0],-0.72,mp-19724
Ge4Fe4Cu2,[1 0 0],-0.7,mp-21141
H6Al2,[2 1 1],-0.74,mp-23933
H2Si2,[1 0 0],-0.77,mp-29803
H2Si2,[2 0 1],-0.85,mp-29803
H2Ti,[0 0 1],-0.68,mp-24726
H2Ti,[1 0 0],-0.64,mp-24161
H2Ti,[1 1 0],-0.63,mp-24726
Ir4In12,[0 2 1],-0.86,mp-636498
IrRhGa2,[1 0 0],-0.81,mp-865743
Mn2Al2,[0 0 1],-0.74,mp-771
