Formula,Miller Indices,dEH,MPID
Ag3Pd,[1 0 0],-0.24,mp-985296 
Al2Cu,[1 1 1],-0.45,mp-985806 
Al2Cu,[1 1 1],-0.21,mp-985806 
Al2Cu,[2 1 0],-0.34,mp-985806 
Al2Cu,[2 1 0],-0.28,mp-985806 
Al2Cu,[2 1 1],-0.37,mp-985806 
Al2Cu6,[1 1 0],-0.18,mp-12802 
Al2Cu6,[1 1 1],-0.21,mp-12802 
Al2Cu6,[1 2 2],-0.21,mp-12802 
Al3Cu2,[1 1 1],-0.2,mp-10886 
Al4Cu2,[1 0 1],-0.22,mp-998 
Al4Cu2,[1 1 2],-0.23,mp-998 
Al5Cu5,[1 1 -1],-0.17,mp-2500 
Al5Cu5,[1 1 -2],-0.25,mp-2500 
Al6Cu2,[1 1 1],-0.22,mp-985825 
Al6Cu2,[1 1 2],-0.2,mp-985825 
AlCu3,[1 1 1],-0.3,mp-12777 
Al2Pd,[2 1 0],-0.37,mp-16522 
Al4Pd4,[1 0 0],-0.22,mp-7189 
Al4Pd8,[0 0 1],-0.24,mp-2824 
Al2Pt,[2 2 1],-0.37,mp-1502 
Al3Pt2,[2 1 1],-0.46,mp-10905 
Al4Pt12,[0 0 1],-0.29,mp-607111 
Al4Pt12,[1 0 1],-0.4,mp-607111 
Al4Pt4,[1 0 0],-0.42,mp-10904 
Al4Pt4,[2 1 1],-0.38,mp-10904 
Al4Pt4,[2 1 1],-0.34,mp-10904 
Al4Pt8,[0 0 1],-0.42,mp-16526 
Al4Pt8,[1 0 0],-0.37,mp-16526 
Al6Pt10,[1 0 0],-0.34,mp-1501 
AlPt3,[1 0 0],-0.38,mp-188 
AlPt3,[1 1 1],-0.45,mp-188 
Al3V,[1 1 0],-0.46,mp-2554 
Al3V,[1 1 1],-0.35,mp-2554 
Al3V,[1 1 2],-0.33,mp-2554 
Al12W,[1 1 1],-0.47,mp-11227 
As2,[1 1 1],-0.21,mp-11 
As2,[2 1 0],-0.47,mp-11 
As2,[2 2 1],-0.23,mp-11 
As4Co4,[1 0 0],-0.43,mp-15679 
As4Co4,[1 1 0],-0.45,mp-583 
As2Ga2,[2 2 1],-0.19,mp-8883 
AsGa,[2 1 0],-0.21,mp-2534 
AsIn,[2 1 0],-0.44,mp-20305 
As4Os2,[1 1 1],-0.37,mp-2455 
AsPd5In,[2 1 0],-0.23,mp-1025293 
AsPd5In,[2 1 2],-0.46,mp-1025293 
As4Rh4,[0 0 1],-0.46,mp-22079 
As4Rh4,[0 0 1],-0.19,mp-22079 
As4Rh4,[1 0 2],-0.25,mp-22079 
As4Rh4,[2 2 1],-0.45,mp-22079 
As4Rh4,[2 2 1],-0.33,mp-22079 
As8Rh4,[1 0 -1],-0.45,mp-15954 
As2Rh10Ga4,[1 0 0],-0.46,mp-18561 
As6Si6,[1 1 0],-0.2,mp-1863 
AsSn,[1 1 1],-0.23,mp-2182 
As6Ti8,[1 1 0],-0.33,mp-567082 
As4Zn4Cu4,[1 1 1],-0.36,mp-676828 
As4Zn4Cu4,[1 1 1],-0.24,mp-676828 
As4Zn4Cu4,[1 2 1],-0.31,mp-676828 
As4Zn4Cu4,[2 1 0],-0.3,mp-676828 
AsZnPt5,[0 0 1],-0.4,mp-1025356 
